Southern Hemisphere Sea Ice Extent (1979-2016)
Units: million square km
1981-2010 Mean: 12.04
Date,Value,Anomaly
199708,18.10,6.06
199709,19.18,7.14
199710,18.20,6.16
199711,16.25,4.21
199712,11.41,-0.63
199801,4.45,-7.59
199802,2.99,-9.05
199803,4.66,-7.38
199804,7.56,-4.48
199805,10.96,-1.08
199806,14.01,1.97
199807,16.42,4.38
199808,18.25,6.21
199809,19.19,7.15
199810,18.89,6.85
199811,16.64,4.60
199812,11.38,-0.66
199901,4.95,-7.09
199902,2.90,-9.14
199903,4.53,-7.51
199904,7.33,-4.71
199905,10.91,-1.13
199906,14.26,2.22
199907,16.81,4.77
199908,18.32,6.28
199909,19.08,7.04
199910,18.77,6.73
199911,16.32,4.28
199912,11.59,-0.45
200001,4.82,-7.22
200002,2.84,-9.20
200003,4.43,-7.61
200004,7.77,-4.27
200005,11.68,-0.36
200006,14.44,2.40
200007,16.79,4.75
200008,18.67,6.63
200009,19.18,7.14
200010,18.53,6.49
200011,16.23,4.19
200012,10.82,-1.22
200101,5.36,-6.68
200102,3.73,-8.31
200103,5.07,-6.97
200104,7.52,-4.52
200105,10.98,-1.06
200106,13.96,1.92
200107,16.24,4.20
200108,18.07,6.03
200109,18.46,6.42
200110,18.13,6.09
200111,15.76,3.72
200112,10.96,-1.08
200201,4.70,-7.34
200202,2.86,-9.18
200203,3.94,-8.10
200204,6.99,-5.05
200205,10.01,-2.03
200206,12.98,0.94
200207,15.98,3.94
200208,17.49,5.45
200209,18.23,6.19
200210,18.22,6.18
200211,15.91,3.87
200212,11.56,-0.48
200301,6.20,-5.84
200302,3.87,-8.17
200303,4.81,-7.23
200304,7.77,-4.27
200305,11.41,-0.63
200306,14.53,2.49
200307,16.90,4.86
200308,18.09,6.05
200309,18.63,6.59
200310,18.43,6.39
200311,16.53,4.49
200312,11.38,-0.66
200401,5.78,-6.26
200402,3.59,-8.45
200403,4.81,-7.23
200404,7.79,-4.25
200405,10.98,-1.06
200406,14.40,2.36
200407,16.79,4.75
200408,18.28,6.24
200409,19.17,7.13
200410,18.65,6.61
200411,16.57,4.53
200412,11.40,-0.64
200501,4.93,-7.11
200502,2.93,-9.11
200503,4.47,-7.57
200504,7.50,-4.54
200505,10.99,-1.05
200506,13.96,1.92
200507,16.72,4.68
200508,18.31,6.27
200509,19.19,7.15
200510,18.78,6.74
200511,16.78,4.74
200512,10.73,-1.31
200601,4.25,-7.79
200602,2.65,-9.39
200603,3.44,-8.60
200604,6.57,-5.47
200605,10.19,-1.85
200606,14.01,1.97
200607,16.67,4.63
200608,18.44,6.40
200609,19.42,7.38
200610,19.05,7.01
200611,16.76,4.72
200612,10.49,-1.55
200701,4.87,-7.17
200702,2.88,-9.16
200703,4.09,-7.95
200704,7.01,-5.03
200705,10.35,-1.69
200706,13.90,1.86
200707,16.55,4.51
200708,18.10,6.06
200709,19.30,7.26
200710,18.76,6.72
200711,16.24,4.20
200712,12.67,0.63
200801,6.88,-5.16
200802,3.87,-8.17
200803,5.74,-6.30
200804,8.68,-3.36
200805,11.53,-0.51
200806,14.53,2.49
200807,16.58,4.54
200808,17.96,5.92
200809,18.52,6.48
200810,18.10,6.06
200811,16.59,4.55
200812,12.28,0.24
200901,5.95,-6.09
200902,2.92,-9.12
200903,4.96,-7.08
200904,8.36,-3.68
200905,11.44,-0.60
200906,14.43,2.39
200907,16.69,4.65
200908,18.63,6.59
200909,19.22,7.18
200910,18.60,6.56
200911,16.37,4.33
200912,11.42,-0.62
201001,4.93,-7.11
201002,3.16,-8.88
201003,4.03,-8.01
201004,7.31,-4.73
201005,11.51,-0.53
201006,15.01,2.97
201007,17.22,5.18
201008,18.87,6.83
201009,19.21,7.17
201010,18.85,6.81
201011,16.94,4.90
201012,12.18,0.14
201101,4.72,-7.32
201102,2.49,-9.55
201103,3.61,-8.43
201104,6.76,-5.28
201105,10.86,-1.18
201106,13.80,1.76
201107,16.34,4.30
201108,18.19,6.15
201109,18.97,6.93
201110,18.54,6.50
201111,16.20,4.16
201112,12.26,0.22
201201,5.79,-6.25
201202,3.57,-8.47
201203,5.02,-7.02
201204,7.99,-4.05
201205,10.98,-1.06
201206,14.21,2.17
201207,16.78,4.74
201208,18.42,6.38
201209,19.44,7.40
201210,18.92,6.88
201211,16.68,4.64
201212,11.37,-0.67
201301,5.81,-6.23
201302,3.87,-8.17
201303,5.35,-6.69
201304,8.10,-3.94
201305,11.49,-0.55
201306,14.69,2.65
201307,17.18,5.14
201308,18.98,6.94
201309,19.83,7.79
201310,19.47,7.43
201311,17.22,5.18
201312,12.69,0.65
201401,6.74,-5.30
201402,3.86,-8.18
201403,5.32,-6.72
201404,9.03,-3.01
201405,12.05,0.01
201406,15.29,3.25
201407,17.45,5.41
201408,19.27,7.23
201409,20.12,8.08
201410,19.25,7.21
201411,16.69,4.65
201412,12.45,0.41
201501,7.46,-4.58
201502,3.69,-8.35
201503,5.48,-6.56
201504,9.06,-2.98
201505,12.15,0.11
201506,14.98,2.94
201507,17.11,5.07
201508,18.08,6.04
201509,18.76,6.72
201510,18.60,6.56
201511,16.49,4.45
201512,11.28,-0.76
201601,4.94,-7.10
201602,2.75,-9.29
201603,4.65,-7.39
201605,10.72,-1.32
201606,13.85,1.81
201607,16.50,4.46
201608,18.19,6.15
201609,18.45,6.41
201610,17.64,5.60
