Southern Hemisphere Sea Ice Extent (1979-2016)
Units: million square km
1981-2010 Mean: 12.04
Date,Value,Anomaly
197901,5.71,-6.33
197902,3.10,-8.94
197903,4.47,-7.57
197904,8.21,-3.83
197905,11.42,-0.62
197906,14.74,2.70
197907,16.83,4.79
197908,18.11,6.07
197909,18.41,6.37
197910,18.04,6.00
197911,15.87,3.83
197912,10.41,-1.63
198001,4.72,-7.32
198002,2.83,-9.21
198003,3.54,-8.50
198004,5.93,-6.11
198005,9.46,-2.58
198006,13.23,1.19
198007,16.09,4.05
198008,18.12,6.08
198009,19.09,7.05
198010,18.90,6.86
198011,16.71,4.67
198012,11.15,-0.89
198101,4.49,-7.55
198102,2.87,-9.17
198103,3.66,-8.38
198104,6.31,-5.73
198105,10.11,-1.93
198106,13.92,1.88
198107,16.48,4.44
198108,18.23,6.19
198109,18.92,6.88
198110,18.55,6.51
198111,16.36,4.32
198112,12.19,0.15
198201,5.45,-6.59
198202,3.11,-8.93
198203,4.80,-7.24
198204,8.28,-3.76
198205,11.16,-0.88
198206,13.98,1.94
198207,16.27,4.23
198208,18.14,6.10
198209,18.65,6.61
198210,18.02,5.98
198211,16.02,3.98
198212,9.90,-2.14
198301,4.94,-7.10
198302,3.03,-9.01
198303,4.32,-7.72
198304,7.09,-4.95
198305,10.08,-1.96
198306,13.35,1.31
198307,15.95,3.91
198308,17.62,5.58
198309,18.87,6.83
198310,18.13,6.09
198311,16.31,4.27
198312,11.38,-0.66
198401,5.15,-6.89
198402,2.71,-9.33
198403,3.93,-8.11
198404,7.02,-5.02
198405,10.37,-1.67
198406,13.92,1.88
198407,16.78,4.74
198408,18.23,6.19
198409,18.67,6.63
198410,17.76,5.72
198411,16.58,4.54
198412,11.47,-0.57
198501,4.48,-7.56
198502,2.78,-9.26
198503,3.99,-8.05
198504,7.05,-4.99
198505,10.85,-1.19
198506,14.00,1.96
198507,16.10,4.06
198508,18.05,6.01
198509,19.04,7.00
198510,18.44,6.40
198511,16.41,4.37
198512,12.39,0.35
198601,5.58,-6.46
198602,3.19,-8.85
198603,4.08,-7.96
198604,6.91,-5.13
198605,9.79,-2.25
198606,13.33,1.29
198607,15.82,3.78
198608,17.72,5.68
198609,17.98,5.94
198610,17.62,5.58
198611,15.54,3.50
198612,10.13,-1.91
198701,5.17,-6.87
198702,3.24,-8.80
198703,4.42,-7.62
198704,7.36,-4.68
198705,10.27,-1.77
198706,13.31,1.27
198707,16.19,4.15
198708,18.01,5.97
198709,18.72,6.68
198710,18.08,6.04
198711,15.82,3.78
198802,2.83,-9.21
198803,4.35,-7.69
198804,6.85,-5.19
198805,10.36,-1.68
198806,13.66,1.62
198807,16.36,4.32
198808,18.16,6.12
198809,18.72,6.68
198810,18.66,6.62
198811,16.61,4.57
198812,12.22,0.18
198901,4.89,-7.15
198902,2.99,-9.05
198903,4.19,-7.85
198904,6.85,-5.19
198905,11.19,-0.85
198906,14.21,2.17
198907,16.19,4.15
198908,17.79,5.75
198909,18.33,6.29
198910,18.08,6.04
198911,16.08,4.04
198912,10.70,-1.34
199001,5.12,-6.92
199002,3.01,-9.03
199003,4.36,-7.68
199004,7.48,-4.56
199005,10.38,-1.66
199006,13.77,1.73
199007,16.09,4.05
199008,18.01,5.97
199009,18.51,6.47
199010,18.25,6.21
199011,16.01,3.97
199012,10.66,-1.38
199101,5.44,-6.60
199102,3.07,-8.97
199103,4.33,-7.71
199104,7.49,-4.55
199105,11.10,-0.94
199106,13.57,1.53
199107,16.26,4.22
199108,18.23,6.19
199109,18.63,6.59
199110,18.26,6.22
199111,16.05,4.01
199112,10.80,-1.24
199201,4.84,-7.20
199202,2.86,-9.18
199203,4.07,-7.97
199204,7.42,-4.62
199205,10.41,-1.63
199206,13.40,1.36
199207,16.61,4.57
199208,18.23,6.19
199209,18.47,6.43
199210,18.28,6.24
199211,16.26,4.22
199212,11.22,-0.82
199301,4.59,-7.45
199302,2.46,-9.58
199303,4.18,-7.86
199304,7.18,-4.86
199305,10.63,-1.41
199306,13.67,1.63
199307,16.47,4.43
199308,17.87,5.83
199309,18.74,6.70
199310,18.44,6.40
199311,16.40,4.36
199312,11.01,-1.03
199401,5.19,-6.85
199402,3.15,-8.89
199403,5.07,-6.97
199404,7.67,-4.37
199405,10.98,-1.06
199406,14.17,2.13
199407,16.86,4.82
199408,18.31,6.27
199409,19.00,6.96
199410,18.32,6.28
199411,16.41,4.37
199412,10.68,-1.36
199501,5.83,-6.21
199502,3.49,-8.55
199503,4.97,-7.07
199504,7.78,-4.26
199505,11.07,-0.97
199506,13.88,1.84
199507,16.25,4.21
199508,18.25,6.21
199509,18.73,6.69
199510,18.38,6.34
199511,15.97,3.93
199512,11.35,-0.69
199601,6.17,-5.87
199602,2.89,-9.15
199603,4.61,-7.43
199604,7.99,-4.05
199605,11.53,-0.51
199606,14.43,2.39
199607,16.64,4.60
199608,18.19,6.15
199609,18.92,6.88
199610,18.22,6.18
199611,16.36,4.32
199612,10.53,-1.51
199701,4.27,-7.77
199702,2.42,-9.62
199703,3.85,-8.19
199704,7.09,-4.95
199705,10.86,-1.18
199706,13.71,1.67
199707,16.46,4.42
