Northern Hemisphere Sea Ice Extent (1979-2016)
Units: million square km
1981-2010 Mean: 11.84
Date,Value,Anomaly
197901,15.56,3.72
197902,16.34,4.50
197903,16.48,4.64
197904,15.49,3.65
197905,14.08,2.24
197906,12.65,0.81
197907,10.52,-1.32
197908,8.18,-3.66
197909,7.22,-4.62
197910,9.42,-2.42
197911,11.15,-0.69
197912,13.52,1.68
198001,15.00,3.16
198002,16.03,4.19
198003,16.15,4.31
198004,15.51,3.67
198005,14.08,2.24
198006,12.37,0.53
198007,10.43,-1.41
198008,8.08,-3.76
198009,7.86,-3.98
198010,9.48,-2.36
198011,11.68,-0.16
198012,13.70,1.86
198101,15.06,3.22
198102,15.70,3.86
198103,15.65,3.81
198104,15.14,3.30
198105,13.92,2.08
198106,12.62,0.78
198107,10.67,-1.17
198108,7.89,-3.95
198109,7.25,-4.59
198110,9.21,-2.63
198111,11.15,-0.69
198112,13.72,1.88
198201,15.29,3.45
198202,16.10,4.26
198203,16.17,4.33
198204,15.58,3.74
198205,14.18,2.34
198206,12.75,0.91
198207,10.80,-1.04
198208,8.30,-3.54
198209,7.45,-4.39
198210,10.02,-1.82
198211,11.90,0.06
198212,13.82,1.98
198301,15.11,3.27
198302,16.04,4.20
198303,16.13,4.29
198304,15.31,3.47
198305,13.56,1.72
198306,12.39,0.55
198307,10.95,-0.89
198308,8.39,-3.45
198309,7.54,-4.30
198310,9.69,-2.15
198311,11.62,-0.22
198312,13.43,1.59
198401,14.63,2.79
198402,15.38,3.54
198403,15.65,3.81
198404,15.17,3.33
198405,13.70,1.86
198406,12.25,0.41
198407,10.22,-1.62
198408,7.94,-3.90
198409,7.11,-4.73
198410,8.87,-2.97
198411,11.28,-0.56
198412,13.17,1.33
198501,14.90,3.06
198502,15.72,3.88
198503,16.09,4.25
198504,15.34,3.50
198505,14.26,2.42
198506,12.44,0.60
198507,10.16,-1.68
198508,7.50,-4.34
198509,6.93,-4.91
198510,8.91,-2.93
198511,11.37,-0.47
198512,13.18,1.34
198601,15.07,3.23
198602,15.94,4.10
198603,16.10,4.26
198604,15.16,3.32
198605,13.54,1.70
198606,12.14,0.30
198607,10.50,-1.34
198608,8.04,-3.80
198609,7.55,-4.29
198610,9.92,-1.92
198611,11.77,-0.07
198612,13.39,1.55
198701,15.22,3.38
198702,16.15,4.31
198703,15.99,4.15
198704,15.34,3.50
198705,13.84,2.00
198706,12.61,0.77
198707,10.81,-1.03
198708,7.70,-4.14
198709,7.51,-4.33
198710,9.33,-2.51
198711,11.50,-0.34
198802,15.65,3.81
198803,16.16,4.32
198804,15.23,3.39
198805,13.75,1.91
198806,12.11,0.27
198807,10.11,-1.73
198808,7.98,-3.86
198809,7.53,-4.31
198810,9.51,-2.33
198811,11.67,-0.17
198812,13.78,1.94
198901,15.15,3.31
198902,15.58,3.74
198903,15.54,3.70
198904,14.46,2.62
198905,13.05,1.21
198906,12.37,0.53
198907,10.47,-1.37
198908,8.00,-3.84
198909,7.08,-4.76
198910,9.55,-2.29
198911,11.48,-0.36
198912,13.47,1.63
199001,14.99,3.15
199002,15.60,3.76
199003,15.90,4.06
199004,14.69,2.85
199005,13.36,1.52
199006,11.77,-0.07
199007,9.68,-2.16
199008,6.87,-4.97
199009,6.27,-5.57
199010,9.40,-2.44
199011,11.30,-0.54
199012,13.26,1.42
199101,14.50,2.66
199102,15.28,3.44
199103,15.52,3.68
199104,14.95,3.11
199105,13.58,1.74
199106,12.29,0.45
199107,9.76,-2.08
199108,7.46,-4.38
199109,6.59,-5.25
199110,9.20,-2.64
199111,11.10,-0.74
199112,13.16,1.32
199201,14.75,2.91
199202,15.53,3.69
199203,15.50,3.66
199204,14.72,2.88
199205,13.31,1.47
199206,12.20,0.36
199207,10.70,-1.14
199208,7.96,-3.88
199209,7.59,-4.25
199210,9.64,-2.20
199211,11.85,0.01
199212,13.45,1.61
199301,15.11,3.27
199302,15.76,3.92
199303,15.90,4.06
199304,15.20,3.36
199305,13.60,1.76
199306,12.06,0.22
199307,9.74,-2.10
199308,7.39,-4.45
199309,6.54,-5.30
199310,9.25,-2.59
199311,11.71,-0.13
199312,13.51,1.67
199401,14.86,3.02
199402,15.64,3.80
199403,15.62,3.78
199404,14.98,3.14
199405,13.82,1.98
199406,12.16,0.32
199407,10.30,-1.54
199408,7.70,-4.14
199409,7.24,-4.60
199410,9.53,-2.31
199411,11.28,-0.56
199412,13.52,1.68
199501,14.65,2.81
199502,15.27,3.43
199503,15.35,3.51
199504,14.61,2.77
199505,13.22,1.38
199506,11.66,-0.18
199507,9.22,-2.62
199508,6.75,-5.09
199509,6.18,-5.66
199510,8.97,-2.87
199511,10.95,-0.89
199512,12.98,1.14
199601,14.25,2.41
199602,15.22,3.38
199603,15.16,3.32
199604,14.23,2.39
199605,13.14,1.30
199606,12.17,0.33
199607,10.46,-1.38
199608,8.28,-3.56
199609,7.91,-3.93
199610,9.43,-2.41
199611,10.54,-1.30
199612,13.12,1.28
199701,14.51,2.67
199702,15.56,3.72
199703,15.61,3.77
199704,14.60,2.76
199705,13.39,1.55
199706,11.98,0.14
199707,9.66,-2.18
199708,7.35,-4.49
199709,6.78,-5.06
199710,8.80,-3.04
199711,10.89,-0.95
199712,13.28,1.44
199801,14.85,3.01
199802,15.81,3.97
199803,15.69,3.85
199804,14.91,3.07
199805,13.86,2.02
199806,11.94,0.10
199807,9.67,-2.17
199808,7.56,-4.28
199809,6.62,-5.22
199810,8.89,-2.95
199811,10.73,-1.11
199812,13.25,1.41
199901,14.50,2.66
199902,15.41,3.57
199903,15.45,3.61
199904,15.16,3.32
199905,13.92,2.08
199906,12.19,0.35
199907,9.65,-2.19
199908,7.43,-4.41
199909,6.29,-5.55
199910,9.14,-2.70
199911,10.97,-0.87
199912,12.87,1.03
200001,14.45,2.61
200002,15.22,3.38
200003,15.30,3.46
200004,14.65,2.81
200005,13.26,1.42
200006,11.80,-0.04
200007,9.81,-2.03
200008,7.27,-4.57
200009,6.36,-5.48
200010,8.94,-2.90
200011,10.53,-1.31
200012,12.80,0.96
200101,14.36,2.52
200102,15.33,3.49
200103,15.64,3.80
200104,14.89,3.05
200105,13.78,1.94
200106,11.75,-0.09
200107,9.28,-2.56
200108,7.53,-4.31
200109,6.78,-5.06
200110,8.60,-3.24
200111,10.90,-0.94
200112,12.83,0.99
200201,14.48,2.64
200202,15.39,3.55
200203,15.46,3.62
200204,14.38,2.54
200205,13.17,1.33
200206,11.77,-0.07
200207,9.58,-2.26
200208,6.57,-5.27
200209,5.98,-5.86
200210,8.82,-3.02
200211,10.76,-1.08
200212,12.81,0.97
200301,14.50,2.66
200302,15.29,3.45
200303,15.52,3.68
200304,14.59,2.75
200305,13.09,1.25
200306,11.85,0.01
200307,9.52,-2.32
200308,6.93,-4.91
200309,6.18,-5.66
200310,8.67,-3.17
200311,10.27,-1.57
200312,12.81,0.97
200401,14.06,2.22
200402,14.95,3.11
200403,15.08,3.24
200404,14.12,2.28
200405,12.64,0.80
200406,11.58,-0.26
200407,9.65,-2.19
200408,6.87,-4.97
200409,6.08,-5.76
200410,8.50,-3.34
200411,10.63,-1.21
200412,12.72,0.88
200501,13.70,1.86
200502,14.40,2.56
200503,14.77,2.93
200504,14.10,2.26
200505,13.06,1.22
200506,11.39,-0.45
200507,8.99,-2.85
200508,6.32,-5.52
200509,5.59,-6.25
200510,8.49,-3.35
200511,10.45,-1.39
200512,12.47,0.63
200601,13.63,1.79
200602,14.47,2.63
200603,14.45,2.61
200604,13.99,2.15
200605,12.68,0.84
200606,11.13,-0.71
200607,8.73,-3.11
200608,6.56,-5.28
200609,5.95,-5.89
200610,8.36,-3.48
200611,9.83,-2.01
200612,12.26,0.42
200701,13.80,1.96
200702,14.55,2.71
200703,14.66,2.82
200704,13.88,2.04
200705,12.96,1.12
200706,11.59,-0.25
200707,8.18,-3.66
200708,5.40,-6.44
200709,4.32,-7.52
200710,6.79,-5.05
200711,10.04,-1.80
200712,12.38,0.54
200801,14.08,2.24
200802,15.04,3.20
200803,15.27,3.43
200804,14.44,2.60
200805,13.23,1.39
200806,11.41,-0.43
200807,9.01,-2.83
200808,6.07,-5.77
200809,4.73,-7.11
200810,8.44,-3.40
200811,10.61,-1.23
200812,12.52,0.68
200901,14.12,2.28
200902,14.88,3.04
200903,15.16,3.32
200904,14.58,2.74
200905,13.43,1.59
200906,11.51,-0.33
200907,8.84,-3.00
200908,6.29,-5.55
200909,5.39,-6.45
200910,7.55,-4.29
200911,10.25,-1.59
200912,12.50,0.66
201001,13.85,2.01
201002,14.64,2.80
201003,15.14,3.30
201004,14.72,2.88
201005,13.17,1.33
201006,10.86,-0.98
201007,8.38,-3.46
201008,6.03,-5.81
201009,4.93,-6.91
201010,7.73,-4.11
201011,9.87,-1.97
201012,12.01,0.17
201101,13.62,1.78
201102,14.42,2.58
201103,14.60,2.76
201104,14.18,2.34
201105,12.88,1.04
201106,11.04,-0.80
201107,7.94,-3.90
201108,5.56,-6.28
201109,4.63,-7.21
201110,7.17,-4.67
201111,9.98,-1.86
201112,12.40,0.56
201201,13.80,1.96
201202,14.63,2.79
201203,15.26,3.42
201204,14.74,2.90
201205,13.16,1.32
201206,10.96,-0.88
201207,7.95,-3.89
201208,4.71,-7.13
201209,3.63,-8.21
201210,7.08,-4.76
201211,9.90,-1.94
201212,12.20,0.36
201301,13.86,2.02
201302,14.75,2.91
201303,15.10,3.26
201304,14.38,2.54
201305,13.13,1.29
201306,11.60,-0.24
201307,8.45,-3.39
201308,6.10,-5.74
201309,5.35,-6.49
201310,8.14,-3.70
201311,10.22,-1.62
201312,12.39,0.55
201401,13.80,1.96
201402,14.51,2.67
201403,14.83,2.99
201404,14.20,2.36
201405,12.81,0.97
201406,11.34,-0.50
201407,8.28,-3.56
201408,6.23,-5.61
201409,5.29,-6.55
201410,8.12,-3.72
201411,10.33,-1.51
201412,12.53,0.69
201501,13.65,1.81
201502,14.43,2.59
201503,14.39,2.55
201504,13.96,2.12
201505,12.69,0.85
201506,11.05,-0.79
201507,8.83,-3.01
201508,5.66,-6.18
201509,4.68,-7.16
201510,7.79,-4.05
201511,10.06,-1.78
201512,12.27,0.43
201601,13.53,1.69
201602,14.22,2.38
201603,14.43,2.59
201605,12.08,0.24
201606,10.60,-1.24
201607,8.13,-3.71
201608,5.60,-6.24
201609,4.72,-7.12
201610,6.39,-5.45
201611,9.08,-2.76
