Globe Sea Ice Extent (1979-2016)
Units: million square km
1981-2010 Mean: 23.88
Date,Value,Anomaly
197901,21.27,-2.61
197902,19.44,-4.44
197903,20.95,-2.93
197904,23.70,-0.18
197905,25.50,1.62
197906,27.39,3.51
197907,27.35,3.47
197908,26.29,2.41
197909,25.63,1.75
197910,27.46,3.58
197911,27.02,3.14
197912,23.93,0.05
198001,19.72,-4.16
198002,18.86,-5.02
198003,19.69,-4.19
198004,21.44,-2.44
198005,23.54,-0.34
198006,25.60,1.72
198007,26.52,2.64
198008,26.20,2.32
198009,26.95,3.07
198010,28.38,4.50
198011,28.39,4.51
198012,24.85,0.97
198101,19.55,-4.33
198102,18.57,-5.31
198103,19.31,-4.57
198104,21.45,-2.43
198105,24.03,0.15
198106,26.54,2.66
198107,27.15,3.27
198108,26.12,2.24
198109,26.17,2.29
198110,27.76,3.88
198111,27.51,3.63
198112,25.91,2.03
198201,20.74,-3.14
198202,19.21,-4.67
198203,20.97,-2.91
198204,23.86,-0.02
198205,25.34,1.46
198206,26.73,2.85
198207,27.07,3.19
198208,26.44,2.56
198209,26.10,2.22
198210,28.04,4.16
198211,27.92,4.04
198212,23.72,-0.16
198301,20.05,-3.83
198302,19.07,-4.81
198303,20.45,-3.43
198304,22.40,-1.48
198305,23.64,-0.24
198306,25.74,1.86
198307,26.90,3.02
198308,26.01,2.13
198309,26.41,2.53
198310,27.82,3.94
198311,27.93,4.05
198312,24.81,0.93
198401,19.78,-4.10
198402,18.09,-5.79
198403,19.58,-4.30
198404,22.19,-1.69
198405,24.07,0.19
198406,26.17,2.29
198407,27.00,3.12
198408,26.17,2.29
198409,25.78,1.90
198410,26.63,2.75
198411,27.86,3.98
198412,24.64,0.76
198501,19.38,-4.50
198502,18.50,-5.38
198503,20.08,-3.80
198504,22.39,-1.49
198505,25.11,1.23
198506,26.44,2.56
198507,26.26,2.38
198508,25.55,1.67
198509,25.97,2.09
198510,27.35,3.47
198511,27.78,3.90
198512,25.57,1.69
198601,20.65,-3.23
198602,19.13,-4.75
198603,20.18,-3.70
198604,22.07,-1.81
198605,23.33,-0.55
198606,25.47,1.59
198607,26.32,2.44
198608,25.76,1.88
198609,25.53,1.65
198610,27.54,3.66
198611,27.31,3.43
198612,23.52,-0.36
198701,20.39,-3.49
198702,19.39,-4.49
198703,20.41,-3.47
198704,22.70,-1.18
198705,24.11,0.23
198706,25.92,2.04
198707,27.00,3.12
198708,25.71,1.83
198709,26.23,2.35
198710,27.41,3.53
198711,27.32,3.44
198802,18.48,-5.40
198803,20.51,-3.37
198804,22.08,-1.80
198805,24.11,0.23
198806,25.77,1.89
198807,26.47,2.59
198808,26.14,2.26
198809,26.25,2.37
198810,28.17,4.29
198811,28.28,4.40
198812,26.00,2.12
198901,20.04,-3.84
198902,18.57,-5.31
198903,19.73,-4.15
198904,21.31,-2.57
198905,24.24,0.36
198906,26.58,2.70
198907,26.66,2.78
198908,25.79,1.91
198909,25.41,1.53
198910,27.63,3.75
198911,27.56,3.68
198912,24.17,0.29
199001,20.11,-3.77
199002,18.61,-5.27
199003,20.26,-3.62
199004,22.17,-1.71
199005,23.74,-0.14
199006,25.54,1.66
199007,25.77,1.89
199008,24.88,1.00
199009,24.78,0.90
199010,27.65,3.77
199011,27.31,3.43
199012,23.92,0.04
199101,19.94,-3.94
199102,18.35,-5.53
199103,19.85,-4.03
199104,22.44,-1.44
199105,24.68,0.80
199106,25.86,1.98
199107,26.02,2.14
199108,25.69,1.81
199109,25.22,1.34
199110,27.46,3.58
199111,27.15,3.27
199112,23.96,0.08
199201,19.59,-4.29
199202,18.39,-5.49
199203,19.57,-4.31
199204,22.14,-1.74
199205,23.72,-0.16
199206,25.60,1.72
199207,27.31,3.43
199208,26.19,2.31
199209,26.06,2.18
199210,27.92,4.04
199211,28.11,4.23
199212,24.67,0.79
199301,19.70,-4.18
199302,18.22,-5.66
199303,20.08,-3.80
199304,22.38,-1.50
199305,24.23,0.35
199306,25.73,1.85
199307,26.21,2.33
199308,25.26,1.38
199309,25.28,1.40
199310,27.69,3.81
199311,28.11,4.23
199312,24.52,0.64
199401,20.05,-3.83
199402,18.79,-5.09
199403,20.69,-3.19
199404,22.65,-1.23
199405,24.80,0.92
199406,26.33,2.45
199407,27.16,3.28
199408,26.01,2.13
199409,26.24,2.36
199410,27.85,3.97
199411,27.69,3.81
199412,24.20,0.32
199501,20.48,-3.40
199502,18.76,-5.12
199503,20.32,-3.56
199504,22.39,-1.49
199505,24.29,0.41
199506,25.54,1.66
199507,25.47,1.59
199508,25.00,1.12
199509,24.91,1.03
199510,27.35,3.47
199511,26.92,3.04
199512,24.33,0.45
199601,20.42,-3.46
199602,18.11,-5.77
199603,19.77,-4.11
199604,22.22,-1.66
199605,24.67,0.79
199606,26.60,2.72
199607,27.10,3.22
199608,26.47,2.59
199609,26.83,2.95
199610,27.65,3.77
199611,26.90,3.02
199612,23.65,-0.23
199701,18.78,-5.10
199702,17.98,-5.90
199703,19.46,-4.42
199704,21.69,-2.19
199705,24.25,0.37
199706,25.69,1.81
199707,26.12,2.24
199708,25.45,1.57
199709,25.96,2.08
199710,27.00,3.12
199711,27.14,3.26
199712,24.69,0.81
199801,19.30,-4.58
199802,18.80,-5.08
199803,20.35,-3.53
199804,22.47,-1.41
199805,24.82,0.94
199806,25.95,2.07
199807,26.09,2.21
199808,25.81,1.93
199809,25.81,1.93
199810,27.78,3.90
199811,27.37,3.49
199812,24.63,0.75
199901,19.45,-4.43
199902,18.31,-5.57
199903,19.98,-3.90
199904,22.49,-1.39
199905,24.83,0.95
199906,26.45,2.57
199907,26.46,2.58
199908,25.75,1.87
199909,25.37,1.49
199910,27.91,4.03
199911,27.29,3.41
199912,24.46,0.58
200001,19.27,-4.61
200002,18.06,-5.82
200003,19.73,-4.15
200004,22.42,-1.46
200005,24.94,1.06
200006,26.24,2.36
200007,26.60,2.72
200008,25.94,2.06
200009,25.54,1.66
200010,27.47,3.59
200011,26.76,2.88
200012,23.62,-0.26
200101,19.72,-4.16
200102,19.06,-4.82
200103,20.71,-3.17
200104,22.41,-1.47
200105,24.76,0.88
200106,25.71,1.83
200107,25.52,1.64
200108,25.60,1.72
200109,25.24,1.36
200110,26.73,2.85
200111,26.66,2.78
200112,23.79,-0.09
200201,19.18,-4.70
200202,18.25,-5.63
200203,19.40,-4.48
200204,21.37,-2.51
200205,23.18,-0.70
200206,24.75,0.87
200207,25.56,1.68
200208,24.06,0.18
200209,24.21,0.33
200210,27.04,3.16
200211,26.67,2.79
200212,24.37,0.49
200301,20.70,-3.18
200302,19.16,-4.72
200303,20.33,-3.55
200304,22.36,-1.52
200305,24.50,0.62
200306,26.38,2.50
200307,26.42,2.54
200308,25.02,1.14
200309,24.81,0.93
200310,27.10,3.22
200311,26.80,2.92
200312,24.19,0.31
200401,19.84,-4.04
200402,18.54,-5.34
200403,19.89,-3.99
200404,21.91,-1.97
200405,23.62,-0.26
200406,25.98,2.10
200407,26.44,2.56
200408,25.15,1.27
200409,25.25,1.37
200410,27.15,3.27
200411,27.20,3.32
200412,24.12,0.24
200501,18.63,-5.25
200502,17.33,-6.55
200503,19.24,-4.64
200504,21.60,-2.28
200505,24.05,0.17
200506,25.35,1.47
200507,25.71,1.83
200508,24.63,0.75
200509,24.78,0.90
200510,27.27,3.39
