Globe Sea Ice Extent (1979-2016)
Units: million square km
1981-2010 Mean: 23.88
Date,Value,Anomaly
200511,27.23,3.35
200512,23.20,-0.68
200601,17.88,-6.00
200602,17.12,-6.76
200603,17.89,-5.99
200604,20.56,-3.32
200605,22.87,-1.01
200606,25.14,1.26
200607,25.40,1.52
200608,25.00,1.12
200609,25.37,1.49
200610,27.41,3.53
200611,26.59,2.71
200612,22.75,-1.13
200701,18.67,-5.21
200702,17.43,-6.45
200703,18.75,-5.13
200704,20.89,-2.99
200705,23.31,-0.57
200706,25.49,1.61
200707,24.73,0.85
200708,23.50,-0.38
200709,23.62,-0.26
200710,25.55,1.67
200711,26.28,2.40
200712,25.05,1.17
200801,20.96,-2.92
200802,18.91,-4.97
200803,21.01,-2.87
200804,23.12,-0.76
200805,24.76,0.88
200806,25.94,2.06
200807,25.59,1.71
200808,24.03,0.15
200809,23.25,-0.63
200810,26.54,2.66
200811,27.20,3.32
200812,24.80,0.92
200901,20.07,-3.81
200902,17.80,-6.08
200903,20.12,-3.76
200904,22.94,-0.94
200905,24.87,0.99
200906,25.94,2.06
200907,25.53,1.65
200908,24.92,1.04
200909,24.61,0.73
200910,26.15,2.27
200911,26.62,2.74
200912,23.92,0.04
201001,18.78,-5.10
201002,17.80,-6.08
201003,19.17,-4.71
201004,22.03,-1.85
201005,24.68,0.80
201006,25.87,1.99
201007,25.60,1.72
201008,24.90,1.02
201009,24.14,0.26
201010,26.58,2.70
201011,26.81,2.93
201012,24.19,0.31
201101,18.34,-5.54
201102,16.91,-6.97
201103,18.21,-5.67
201104,20.94,-2.94
201105,23.74,-0.14
201106,24.84,0.96
201107,24.28,0.40
201108,23.75,-0.13
201109,23.60,-0.28
201110,25.71,1.83
201111,26.18,2.30
201112,24.66,0.78
201201,19.59,-4.29
201202,18.20,-5.68
201203,20.28,-3.60
201204,22.73,-1.15
201205,24.14,0.26
201206,25.17,1.29
201207,24.73,0.85
201208,23.13,-0.75
201209,23.07,-0.81
201210,26.00,2.12
201211,26.58,2.70
201212,23.57,-0.31
201301,19.67,-4.21
201302,18.62,-5.26
201303,20.45,-3.43
201304,22.48,-1.40
201305,24.62,0.74
201306,26.29,2.41
201307,25.63,1.75
201308,25.08,1.20
201309,25.18,1.30
201310,27.61,3.73
201311,27.44,3.56
201312,25.08,1.20
201401,20.54,-3.34
201402,18.37,-5.51
201403,20.15,-3.73
201404,23.23,-0.65
201405,24.86,0.98
201406,26.63,2.75
201407,25.73,1.85
201408,25.50,1.62
201409,25.41,1.53
201410,27.37,3.49
201411,27.02,3.14
201412,24.98,1.10
201501,21.11,-2.77
201502,18.12,-5.76
201503,19.87,-4.01
201504,23.02,-0.86
201505,24.84,0.96
201506,26.03,2.15
201507,25.94,2.06
201508,23.74,-0.14
201509,23.44,-0.44
201510,26.39,2.51
201511,26.55,2.67
201512,23.55,-0.33
201601,18.47,-5.41
201602,16.97,-6.91
201603,19.08,-4.80
201605,22.80,-1.08
201606,24.45,0.57
201607,24.63,0.75
201608,23.79,-0.09
201609,23.17,-0.71
201610,24.03,0.15
