year,month,value,anomaly,type
1979,01,15.56,3.72,northern
1979,02,16.34,4.50,northern
1979,03,16.48,4.64,northern
1979,04,15.49,3.65,northern
1979,05,14.08,2.24,northern
1979,06,12.65,0.81,northern
1979,07,10.52,-1.32,northern
1979,08,8.18,-3.66,northern
1979,09,7.22,-4.62,northern
1979,10,9.42,-2.42,northern
1979,11,11.15,-0.69,northern
1979,12,13.52,1.68,northern
1980,01,15.00,3.16,northern
1980,02,16.03,4.19,northern
1980,03,16.15,4.31,northern
1980,04,15.51,3.67,northern
1980,05,14.08,2.24,northern
1980,06,12.37,0.53,northern
1980,07,10.43,-1.41,northern
1980,08,8.08,-3.76,northern
1980,09,7.86,-3.98,northern
1980,10,9.48,-2.36,northern
1980,11,11.68,-0.16,northern
1980,12,13.70,1.86,northern
1981,01,15.06,3.22,northern
1981,02,15.70,3.86,northern
1981,03,15.65,3.81,northern
1981,04,15.14,3.30,northern
1981,05,13.92,2.08,northern
1981,06,12.62,0.78,northern
1981,07,10.67,-1.17,northern
1981,08,7.89,-3.95,northern
1981,09,7.25,-4.59,northern
1981,10,9.21,-2.63,northern
1981,11,11.15,-0.69,northern
1981,12,13.72,1.88,northern
1982,01,15.29,3.45,northern
1982,02,16.10,4.26,northern
1982,03,16.17,4.33,northern
1982,04,15.58,3.74,northern
1982,05,14.18,2.34,northern
1982,06,12.75,0.91,northern
1982,07,10.80,-1.04,northern
1982,08,8.30,-3.54,northern
1982,09,7.45,-4.39,northern
1982,10,10.02,-1.82,northern
1982,11,11.90,0.06,northern
1982,12,13.82,1.98,northern
1983,01,15.11,3.27,northern
1983,02,16.04,4.20,northern
1983,03,16.13,4.29,northern
1983,04,15.31,3.47,northern
1983,05,13.56,1.72,northern
1983,06,12.39,0.55,northern
1983,07,10.95,-0.89,northern
1983,08,8.39,-3.45,northern
1983,09,7.54,-4.30,northern
1983,10,9.69,-2.15,northern
1983,11,11.62,-0.22,northern
1983,12,13.43,1.59,northern
1984,01,14.63,2.79,northern
1984,02,15.38,3.54,northern
1984,03,15.65,3.81,northern
1984,04,15.17,3.33,northern
1984,05,13.70,1.86,northern
