year,month,value,anomaly,type
1979,01,5.71,-6.33,southern
1979,02,3.10,-8.94,southern
1979,03,4.47,-7.57,southern
1979,04,8.21,-3.83,southern
1979,05,11.42,-0.62,southern
1979,06,14.74,2.70,southern
1979,07,16.83,4.79,southern
1979,08,18.11,6.07,southern
1979,09,18.41,6.37,southern
1979,10,18.04,6.00,southern
1979,11,15.87,3.83,southern
1979,12,10.41,-1.63,southern
1980,01,4.72,-7.32,southern
1980,02,2.83,-9.21,southern
1980,03,3.54,-8.50,southern
1980,04,5.93,-6.11,southern
1980,05,9.46,-2.58,southern
1980,06,13.23,1.19,southern
1980,07,16.09,4.05,southern
1980,08,18.12,6.08,southern
1980,09,19.09,7.05,southern
1980,10,18.90,6.86,southern
1980,11,16.71,4.67,southern
1980,12,11.15,-0.89,southern
1981,01,4.49,-7.55,southern
1981,02,2.87,-9.17,southern
1981,03,3.66,-8.38,southern
1981,04,6.31,-5.73,southern
1981,05,10.11,-1.93,southern
1981,06,13.92,1.88,southern
1981,07,16.48,4.44,southern
1981,08,18.23,6.19,southern
1981,09,18.92,6.88,southern
1981,10,18.55,6.51,southern
1981,11,16.36,4.32,southern
1981,12,12.19,0.15,southern
1982,01,5.45,-6.59,southern
1982,02,3.11,-8.93,southern
1982,03,4.80,-7.24,southern
1982,04,8.28,-3.76,southern
1982,05,11.16,-0.88,southern
1982,06,13.98,1.94,southern
1982,07,16.27,4.23,southern
1982,08,18.14,6.10,southern
1982,09,18.65,6.61,southern
1982,10,18.02,5.98,southern
1982,11,16.02,3.98,southern
1982,12,9.90,-2.14,southern
1983,01,4.94,-7.10,southern
1983,02,3.03,-9.01,southern
1983,03,4.32,-7.72,southern
1983,04,7.09,-4.95,southern
1983,05,10.08,-1.96,southern
1983,06,13.35,1.31,southern
1983,07,15.95,3.91,southern
1983,08,17.62,5.58,southern
1983,09,18.87,6.83,southern
1983,10,18.13,6.09,southern
1983,11,16.31,4.27,southern
1983,12,11.38,-0.66,southern
1984,01,5.15,-6.89,southern
1984,02,2.71,-9.33,southern
1984,03,3.93,-8.11,southern
1984,04,7.02,-5.02,southern
1984,05,10.37,-1.67,southern
1984,06,13.92,1.88,southern
1984,07,16.78,4.74,southern
1984,08,18.23,6.19,southern
1984,09,18.67,6.63,southern
1984,10,17.76,5.72,southern
1984,11,16.58,4.54,southern
1984,12,11.47,-0.57,southern
1985,01,4.48,-7.56,southern
1985,02,2.78,-9.26,southern
1985,03,3.99,-8.05,southern
1985,04,7.05,-4.99,southern
1985,05,10.85,-1.19,southern
1985,06,14.00,1.96,southern
1985,07,16.10,4.06,southern
1985,08,18.05,6.01,southern
1985,09,19.04,7.00,southern
1985,10,18.44,6.40,southern
1985,11,16.41,4.37,southern
1985,12,12.39,0.35,southern
1986,01,5.58,-6.46,southern
1986,02,3.19,-8.85,southern
1986,03,4.08,-7.96,southern
1986,04,6.91,-5.13,southern
1986,05,9.79,-2.25,southern
1986,06,13.33,1.29,southern
1986,07,15.82,3.78,southern
1986,08,17.72,5.68,southern
1986,09,17.98,5.94,southern
1986,10,17.62,5.58,southern
1986,11,15.54,3.50,southern
1986,12,10.13,-1.91,southern
1987,01,5.17,-6.87,southern
1987,02,3.24,-8.80,southern
1987,03,4.42,-7.62,southern
1987,04,7.36,-4.68,southern
1987,05,10.27,-1.77,southern
1987,06,13.31,1.27,southern
1987,07,16.19,4.15,southern
1987,08,18.01,5.97,southern
1987,09,18.72,6.68,southern
1987,10,18.08,6.04,southern
1987,11,15.82,3.78,southern
1988,02,2.83,-9.21,southern
1988,03,4.35,-7.69,southern
1988,04,6.85,-5.19,southern
1988,05,10.36,-1.68,southern
1988,06,13.66,1.62,southern
1988,07,16.36,4.32,southern
1988,08,18.16,6.12,southern
1988,09,18.72,6.68,southern
1988,10,18.66,6.62,southern
1988,11,16.61,4.57,southern
1988,12,12.22,0.18,southern
1989,01,4.89,-7.15,southern
1989,02,2.99,-9.05,southern
1989,03,4.19,-7.85,southern
1989,04,6.85,-5.19,southern
1989,05,11.19,-0.85,southern
1989,06,14.21,2.17,southern
1989,07,16.19,4.15,southern
1989,08,17.79,5.75,southern
1989,09,18.33,6.29,southern
1989,10,18.08,6.04,southern
1989,11,16.08,4.04,southern
1989,12,10.70,-1.34,southern
1990,01,5.12,-6.92,southern
1990,02,3.01,-9.03,southern
1990,03,4.36,-7.68,southern
1990,04,7.48,-4.56,southern
1990,05,10.38,-1.66,southern
1990,06,13.77,1.73,southern
1990,07,16.09,4.05,southern
1990,08,18.01,5.97,southern
1990,09,18.51,6.47,southern
1990,10,18.25,6.21,southern
1990,11,16.01,3.97,southern
1990,12,10.66,-1.38,southern
1991,01,5.44,-6.60,southern
1991,02,3.07,-8.97,southern
1991,03,4.33,-7.71,southern
1991,04,7.49,-4.55,southern
1991,05,11.10,-0.94,southern
1991,06,13.57,1.53,southern
1991,07,16.26,4.22,southern
1991,08,18.23,6.19,southern
1991,09,18.63,6.59,southern
1991,10,18.26,6.22,southern
1991,11,16.05,4.01,southern
1991,12,10.80,-1.24,southern
1992,01,4.84,-7.20,southern
1992,02,2.86,-9.18,southern
1992,03,4.07,-7.97,southern
1992,04,7.42,-4.62,southern
1992,05,10.41,-1.63,southern
1992,06,13.40,1.36,southern
1992,07,16.61,4.57,southern
1992,08,18.23,6.19,southern
1992,09,18.47,6.43,southern
1992,10,18.28,6.24,southern
1992,11,16.26,4.22,southern
1992,12,11.22,-0.82,southern
1993,01,4.59,-7.45,southern
1993,02,2.46,-9.58,southern
1993,03,4.18,-7.86,southern
1993,04,7.18,-4.86,southern
