year,month,value,anomaly,type
1993,05,10.63,-1.41,southern
1993,06,13.67,1.63,southern
1993,07,16.47,4.43,southern
1993,08,17.87,5.83,southern
1993,09,18.74,6.70,southern
1993,10,18.44,6.40,southern
1993,11,16.40,4.36,southern
1993,12,11.01,-1.03,southern
1994,01,5.19,-6.85,southern
1994,02,3.15,-8.89,southern
1994,03,5.07,-6.97,southern
1994,04,7.67,-4.37,southern
1994,05,10.98,-1.06,southern
1994,06,14.17,2.13,southern
1994,07,16.86,4.82,southern
1994,08,18.31,6.27,southern
1994,09,19.00,6.96,southern
1994,10,18.32,6.28,southern
1994,11,16.41,4.37,southern
1994,12,10.68,-1.36,southern
1995,01,5.83,-6.21,southern
1995,02,3.49,-8.55,southern
1995,03,4.97,-7.07,southern
1995,04,7.78,-4.26,southern
1995,05,11.07,-0.97,southern
1995,06,13.88,1.84,southern
1995,07,16.25,4.21,southern
1995,08,18.25,6.21,southern
1995,09,18.73,6.69,southern
1995,10,18.38,6.34,southern
1995,11,15.97,3.93,southern
1995,12,11.35,-0.69,southern
1996,01,6.17,-5.87,southern
1996,02,2.89,-9.15,southern
1996,03,4.61,-7.43,southern
1996,04,7.99,-4.05,southern
1996,05,11.53,-0.51,southern
1996,06,14.43,2.39,southern
1996,07,16.64,4.60,southern
1996,08,18.19,6.15,southern
1996,09,18.92,6.88,southern
1996,10,18.22,6.18,southern
1996,11,16.36,4.32,southern
1996,12,10.53,-1.51,southern
1997,01,4.27,-7.77,southern
1997,02,2.42,-9.62,southern
1997,03,3.85,-8.19,southern
1997,04,7.09,-4.95,southern
1997,05,10.86,-1.18,southern
1997,06,13.71,1.67,southern
1997,07,16.46,4.42,southern
1997,08,18.10,6.06,southern
1997,09,19.18,7.14,southern
1997,10,18.20,6.16,southern
1997,11,16.25,4.21,southern
1997,12,11.41,-0.63,southern
1998,01,4.45,-7.59,southern
1998,02,2.99,-9.05,southern
1998,03,4.66,-7.38,southern
1998,04,7.56,-4.48,southern
1998,05,10.96,-1.08,southern
1998,06,14.01,1.97,southern
1998,07,16.42,4.38,southern
1998,08,18.25,6.21,southern
1998,09,19.19,7.15,southern
1998,10,18.89,6.85,southern
1998,11,16.64,4.60,southern
1998,12,11.38,-0.66,southern
1999,01,4.95,-7.09,southern
1999,02,2.90,-9.14,southern
1999,03,4.53,-7.51,southern
1999,04,7.33,-4.71,southern
1999,05,10.91,-1.13,southern
1999,06,14.26,2.22,southern
1999,07,16.81,4.77,southern
1999,08,18.32,6.28,southern
1999,09,19.08,7.04,southern
1999,10,18.77,6.73,southern
1999,11,16.32,4.28,southern
1999,12,11.59,-0.45,southern
2000,01,4.82,-7.22,southern
2000,02,2.84,-9.20,southern
2000,03,4.43,-7.61,southern
2000,04,7.77,-4.27,southern
2000,05,11.68,-0.36,southern
2000,06,14.44,2.40,southern
2000,07,16.79,4.75,southern
2000,08,18.67,6.63,southern
2000,09,19.18,7.14,southern
2000,10,18.53,6.49,southern
2000,11,16.23,4.19,southern
2000,12,10.82,-1.22,southern
2001,01,5.36,-6.68,southern
2001,02,3.73,-8.31,southern
2001,03,5.07,-6.97,southern
2001,04,7.52,-4.52,southern
2001,05,10.98,-1.06,southern
2001,06,13.96,1.92,southern
2001,07,16.24,4.20,southern
2001,08,18.07,6.03,southern
2001,09,18.46,6.42,southern
2001,10,18.13,6.09,southern
2001,11,15.76,3.72,southern
2001,12,10.96,-1.08,southern
2002,01,4.70,-7.34,southern
2002,02,2.86,-9.18,southern
2002,03,3.94,-8.10,southern
2002,04,6.99,-5.05,southern
2002,05,10.01,-2.03,southern
2002,06,12.98,0.94,southern
2002,07,15.98,3.94,southern
2002,08,17.49,5.45,southern
2002,09,18.23,6.19,southern
2002,10,18.22,6.18,southern
2002,11,15.91,3.87,southern
2002,12,11.56,-0.48,southern
2003,01,6.20,-5.84,southern
2003,02,3.87,-8.17,southern
2003,03,4.81,-7.23,southern
2003,04,7.77,-4.27,southern
2003,05,11.41,-0.63,southern
2003,06,14.53,2.49,southern
2003,07,16.90,4.86,southern
2003,08,18.09,6.05,southern
2003,09,18.63,6.59,southern
2003,10,18.43,6.39,southern
2003,11,16.53,4.49,southern
2003,12,11.38,-0.66,southern
2004,01,5.78,-6.26,southern
2004,02,3.59,-8.45,southern
2004,03,4.81,-7.23,southern
2004,04,7.79,-4.25,southern
2004,05,10.98,-1.06,southern
2004,06,14.40,2.36,southern
2004,07,16.79,4.75,southern
2004,08,18.28,6.24,southern
2004,09,19.17,7.13,southern
2004,10,18.65,6.61,southern
2004,11,16.57,4.53,southern
2004,12,11.40,-0.64,southern
2005,01,4.93,-7.11,southern
2005,02,2.93,-9.11,southern
2005,03,4.47,-7.57,southern
2005,04,7.50,-4.54,southern
2005,05,10.99,-1.05,southern
2005,06,13.96,1.92,southern
2005,07,16.72,4.68,southern
2005,08,18.31,6.27,southern
2005,09,19.19,7.15,southern
2005,10,18.78,6.74,southern
2005,11,16.78,4.74,southern
2005,12,10.73,-1.31,southern
2006,01,4.25,-7.79,southern
2006,02,2.65,-9.39,southern
2006,03,3.44,-8.60,southern
2006,04,6.57,-5.47,southern
2006,05,10.19,-1.85,southern
2006,06,14.01,1.97,southern
2006,07,16.67,4.63,southern
2006,08,18.44,6.40,southern
2006,09,19.42,7.38,southern
2006,10,19.05,7.01,southern
2006,11,16.76,4.72,southern
2006,12,10.49,-1.55,southern
2007,01,4.87,-7.17,southern
2007,02,2.88,-9.16,southern
2007,03,4.09,-7.95,southern
2007,04,7.01,-5.03,southern
2007,05,10.35,-1.69,southern
2007,06,13.90,1.86,southern
2007,07,16.55,4.51,southern
2007,08,18.10,6.06,southern
2007,09,19.30,7.26,southern
2007,10,18.76,6.72,southern
2007,11,16.24,4.20,southern
2007,12,12.67,0.63,southern
2008,01,6.88,-5.16,southern
2008,02,3.87,-8.17,southern
2008,03,5.74,-6.30,southern
2008,04,8.68,-3.36,southern
2008,05,11.53,-0.51,southern
2008,06,14.53,2.49,southern
2008,07,16.58,4.54,southern
2008,08,17.96,5.92,southern
2008,09,18.52,6.48,southern
2008,10,18.10,6.06,southern
2008,11,16.59,4.55,southern
2008,12,12.28,0.24,southern
2009,01,5.95,-6.09,southern
2009,02,2.92,-9.12,southern
2009,03,4.96,-7.08,southern
2009,04,8.36,-3.68,southern
2009,05,11.44,-0.60,southern
2009,06,14.43,2.39,southern
2009,07,16.69,4.65,southern
2009,08,18.63,6.59,southern
2009,09,19.22,7.18,southern
2009,10,18.60,6.56,southern
2009,11,16.37,4.33,southern
2009,12,11.42,-0.62,southern
2010,01,4.93,-7.11,southern
2010,02,3.16,-8.88,southern
2010,03,4.03,-8.01,southern
2010,04,7.31,-4.73,southern
2010,05,11.51,-0.53,southern
2010,06,15.01,2.97,southern
2010,07,17.22,5.18,southern
2010,08,18.87,6.83,southern
2010,09,19.21,7.17,southern
2010,10,18.85,6.81,southern
2010,11,16.94,4.90,southern
2010,12,12.18,0.14,southern
2011,01,4.72,-7.32,southern
2011,02,2.49,-9.55,southern
2011,03,3.61,-8.43,southern
2011,04,6.76,-5.28,southern
2011,05,10.86,-1.18,southern
2011,06,13.80,1.76,southern
2011,07,16.34,4.30,southern
2011,08,18.19,6.15,southern
2011,09,18.97,6.93,southern
2011,10,18.54,6.50,southern
2011,11,16.20,4.16,southern
2011,12,12.26,0.22,southern
2012,01,5.79,-6.25,southern
2012,02,3.57,-8.47,southern
2012,03,5.02,-7.02,southern
2012,04,7.99,-4.05,southern
2012,05,10.98,-1.06,southern
2012,06,14.21,2.17,southern
2012,07,16.78,4.74,southern
2012,08,18.42,6.38,southern
2012,09,19.44,7.40,southern
2012,10,18.92,6.88,southern
2012,11,16.68,4.64,southern
2012,12,11.37,-0.67,southern
2013,01,5.81,-6.23,southern
2013,02,3.87,-8.17,southern
2013,03,5.35,-6.69,southern
2013,04,8.10,-3.94,southern
2013,05,11.49,-0.55,southern
2013,06,14.69,2.65,southern
2013,07,17.18,5.14,southern
2013,08,18.98,6.94,southern
2013,09,19.83,7.79,southern
2013,10,19.47,7.43,southern
2013,11,17.22,5.18,southern
2013,12,12.69,0.65,southern
2014,01,6.74,-5.30,southern
2014,02,3.86,-8.18,southern
2014,03,5.32,-6.72,southern
2014,04,9.03,-3.01,southern
2014,05,12.05,0.01,southern
2014,06,15.29,3.25,southern
2014,07,17.45,5.41,southern
2014,08,19.27,7.23,southern
2014,09,20.12,8.08,southern
2014,10,19.25,7.21,southern
2014,11,16.69,4.65,southern
2014,12,12.45,0.41,southern
2015,01,7.46,-4.58,southern
2015,02,3.69,-8.35,southern
2015,03,5.48,-6.56,southern
2015,04,9.06,-2.98,southern
2015,05,12.15,0.11,southern
2015,06,14.98,2.94,southern
2015,07,17.11,5.07,southern
2015,08,18.08,6.04,southern
2015,09,18.76,6.72,southern
2015,10,18.60,6.56,southern
2015,11,16.49,4.45,southern
2015,12,11.28,-0.76,southern
2016,01,4.94,-7.10,southern
2016,02,2.75,-9.29,southern
2016,03,4.65,-7.39,southern
2016,05,10.72,-1.32,southern
2016,06,13.85,1.81,southern
2016,07,16.50,4.46,southern
2016,08,18.19,6.15,southern
2016,09,18.45,6.41,southern
2016,10,17.64,5.60,southern
2016,11,14.54,2.50,southern
